cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,73,8192,512,ck,12,0,5.0863,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,120.4,1067.12,0.0
256,86,8192,512,ck,12,0,5.1015,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,141.41,1107.0,0.0
256,81,8192,512,ck,18,0,5.1114,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,132.93,1088.33,0.0
256,87,8192,512,ck,12,0,5.1174,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,142.61,1106.86,0.0
256,104,8192,512,ck,13,0,5.1203,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,170.38,1162.33,0.0
256,90,8192,512,ck,12,0,5.1401,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,146.88,1111.84,0.0
256,106,8192,512,ck,13,0,5.1514,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,172.61,1161.87,0.0
256,94,8192,512,ck,18,0,5.1515,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,153.07,1122.49,0.0
256,96,8192,512,ck,18,0,5.157,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,156.16,1127.85,0.0
256,103,8192,512,ck,13,0,5.1578,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,167.52,1150.61,0.0
256,102,8192,512,ck,18,0,5.1751,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,165.34,1143.49,0.0
256,113,8192,512,ck,13,0,5.1799,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,183.0,1178.31,0.0
256,107,8192,512,ck,13,0,5.1871,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,173.04,1157.14,0.0
256,117,8192,512,ck,13,0,5.1929,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,189.0,1188.38,0.0
256,124,8192,512,ck,13,0,5.2387,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,198.56,1200.57,0.0
256,118,8192,512,ck,12,0,5.2478,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,188.62,1179.17,0.0
256,121,8192,512,ck,13,0,5.2517,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,193.27,1187.94,0.0
256,109,8192,512,ck,12,0,5.2532,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,174.06,1149.01,0.0
256,108,8192,512,ck,12,0,5.2579,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,172.31,1144.77,0.0
256,125,8192,512,ck,13,0,5.2621,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,199.27,1198.44,0.0
256,127,8192,512,ck,13,0,5.2923,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,201.3,1197.98,0.0
